Provincias con mayor número de pernoctaciones;Establecimientos y personal empleado (plazas);Periodo;Total
02 Albacete;Número de plazas estimadas;2012M06;3.965
02 Albacete;Número de plazas estimadas;2012M05;3.920
02 Albacete;Número de plazas estimadas;2012M04;3.858
02 Albacete;Número de plazas estimadas;2012M03;3.724
02 Albacete;Número de plazas estimadas;2012M02;3.540
02 Albacete;Número de plazas estimadas;2012M01;3.367
02 Albacete;Número de plazas estimadas;2011M12;3.666
02 Albacete;Número de plazas estimadas;2011M11;3.686
02 Albacete;Número de plazas estimadas;2011M10;3.702
02 Albacete;Número de plazas estimadas;2011M09;3.534
02 Albacete;Número de plazas estimadas;2011M08;3.617
02 Albacete;Número de plazas estimadas;2011M07;3.559
02 Albacete;Número de plazas estimadas;2011M06;3.609
02 Albacete;Número de plazas estimadas;2011M05;3.259
02 Albacete;Número de plazas estimadas;2011M04;3.174
02 Albacete;Número de plazas estimadas;2011M03;3.158
02 Albacete;Número de plazas estimadas;2011M02;3.084
02 Albacete;Número de plazas estimadas;2011M01;3.068
02 Albacete;Número de plazas estimadas;2010M12;3.104
02 Albacete;Número de plazas estimadas;2010M11;3.153
02 Albacete;Número de plazas estimadas;2010M10;3.089
02 Albacete;Número de plazas estimadas;2010M09;3.093
02 Albacete;Número de plazas estimadas;2010M08;3.113
02 Albacete;Número de plazas estimadas;2010M07;3.080
02 Albacete;Número de plazas estimadas;2010M06;3.084
02 Albacete;Número de plazas estimadas;2010M05;3.110
02 Albacete;Número de plazas estimadas;2010M04;3.161
02 Albacete;Número de plazas estimadas;2010M03;3.050
02 Albacete;Número de plazas estimadas;2010M02;2.969
02 Albacete;Número de plazas estimadas;2010M01;2.918
02 Albacete;Número de plazas estimadas;2009M12;2.952
02 Albacete;Número de plazas estimadas;2009M11;2.973
02 Albacete;Número de plazas estimadas;2009M10;2.982
02 Albacete;Número de plazas estimadas;2009M09;2.972
02 Albacete;Número de plazas estimadas;2009M08;2.956
02 Albacete;Número de plazas estimadas;2009M07;3.018
02 Albacete;Número de plazas estimadas;2009M06;2.956
02 Albacete;Número de plazas estimadas;2009M05;3.043
02 Albacete;Número de plazas estimadas;2009M04;2.956
02 Albacete;Número de plazas estimadas;2009M03;3.001
02 Albacete;Número de plazas estimadas;2009M02;3.020
02 Albacete;Número de plazas estimadas;2009M01;2.729
02 Albacete;Número de plazas estimadas;2008M12;2.717
02 Albacete;Número de plazas estimadas;2008M11;2.692
02 Albacete;Número de plazas estimadas;2008M10;2.751
02 Albacete;Número de plazas estimadas;2008M09;2.683
02 Albacete;Número de plazas estimadas;2008M08;2.705
02 Albacete;Número de plazas estimadas;2008M07;2.604
02 Albacete;Número de plazas estimadas;2008M06;2.624
02 Albacete;Número de plazas estimadas;2008M05;2.624
02 Albacete;Número de plazas estimadas;2008M04;2.610
02 Albacete;Número de plazas estimadas;2008M03;2.499
02 Albacete;Número de plazas estimadas;2008M02;2.337
02 Albacete;Número de plazas estimadas;2008M01;2.337
